"","OID_","Field1","Lake","Project","Time","PercentCoverage","Depth","POINT_X","POINT_Y","geometry","id_point","fetch_km","weighted_fetch_km","fetch_km_all","weighted_fetch_km_all"
"25",25,25,"Ontario","IMRP","2024-08-06T20:56:33Z",60,82,-77.6926539999999,44.0187770000001,c(765085.117252923, 4879277.95062415),25,0.0162053103930424,0.0162053103930424,2.09282033647217,2.09282033647217
"26",26,26,"Ontario","IMRP","2024-08-06T20:58:15Z",10,52,-77.6925115449999,44.0187687920001,c(765096.572136038, 4879277.49745623),26,0.00208522531840574,0.00208522531840574,2.02992186997931,2.02992186997931
"27",27,27,"Ontario","IMRP","2024-08-06T20:59:27Z",30,78,-77.692563,44.0187700000001,c(765092.4424475, 4879277.46600921),27,0.00652944164560004,0.00652944164560004,2.06322578529715,2.06322578529715
"28",28,28,"Ontario","IMRP","2024-08-06T21:00:42Z",70,100,-77.6926589999999,44.018717,c(765084.984110127, 4879271.27004969),28,0.0195877904645184,0.0195877904645184,2.09381617617615,2.09381617617615
"29",29,29,"Ontario","IMRP","2024-08-06T21:02:43Z",40,69,-77.6924729999999,44.0186670000001,c(765100.115713883, 4879266.31501402),29,0.00922997804711032,0.00922997804711032,2.06129190495423,2.06129190495423
"30",30,30,"Ontario","IMRP","2024-08-06T21:03:56Z",20,59,-77.6923159999999,44.0186400000001,c(765112.820284201, 4879263.8213768),30,0.00448391096587054,0.00448391096587054,1.90692289372494,1.90692289372494
"31",31,31,"Ontario","IMRP","2024-08-07T14:40:56Z",90,42,-77.0697969999999,44.066376,c(814757.343434547, 4886759.24300176),31,0.00362102720187305,0.00362102720187305,0.816236641096271,0.816236641096271
"32",32,32,"Ontario","IMRP","2024-08-07T14:43:31Z",50,40,-77.069825,44.0663960000001,c(814754.994737505, 4886761.35740294),32,0.00709054743662344,0.00709054743662344,0.973974708261393,0.973974708261393
"33",33,33,"Ontario","IMRP","2024-08-07T14:45:25Z",70,72,-77.06998,44.066356,c(814742.792940519, 4886756.32113056),33,0.023581591636339,0.023581591636339,1.6959568147836,1.6959568147836
"34",34,34,"Ontario","IMRP","2024-08-07T14:47:05Z",90,80,-77.070056,44.0663020000001,c(814736.992617869, 4886750.03209907),34,0.0332833792764665,0.0332833792764665,1.96505828461738,1.96505828461738
"35",35,35,"Ontario","IMRP","2024-08-07T14:49:07Z",10,25,-77.070256,44.0662320000001,c(814721.345897943, 4886741.49133515),35,0.305597170854088,0.305597170854088,2.02880547773003,2.02880547773003
"36",36,36,"Ontario","IMRP","2024-08-07T14:51:27Z",100,99,-77.070399,44.0662340000001,c(814709.882253342, 4886741.16631082),36,0.314648864996455,0.314648864996455,2.03027743148746,2.03027743148746
"37",37,37,"Ontario","IMRP","2024-08-07T14:55:09Z",20,59,-77.0701779999999,44.0661650000001,c(814727.948578149, 4886734.34759482),37,0.337042882953198,0.337042882953198,2.10456821433856,2.10456821433856
"38",38,38,"Ontario","IMRP","2024-08-07T14:58:43Z",60,31,-77.069642,44.066489,c(814769.157748018, 4886772.38797935),38,0.00262280230136204,0.00262280230136204,0.669409186517452,0.669409186517452
"39",39,39,"Ontario","IMRP","2024-08-07T15:01:05Z",60,40,-77.0697519999999,44.066494,c(814760.321223919, 4886772.52239275),39,0.00373568336619801,0.00373568336619801,0.829810763560915,0.829810763560915
