"","OID_","Field1","Lake","Project","Time","PercentCoverage","Depth","POINT_X","POINT_Y","geometry","id_point","fetch_km","weighted_fetch_km","fetch_km_all","weighted_fetch_km_all","id_point","fetch_max4pts","geometry"
"5",5,5,"Ontario","IMRP","2024-08-06T19:50:39Z",90,78,-77.6938689999999,44.024274,c(764963.219581516, 4879884.61829108),5,0.0886820952083938,0.0886820952083938,1.11313229877068,1.11313229877068,5,2866.99023533438,list(c(761903.952821726, 764963.219581516, 4878617.42850826, 4879884.61829108, 0, 0), c(763745.805271275, 764963.219581516, 4876945.52015227, 4879884.61829108, 0, 0), c(762956.658307244, 764963.219581516, 4877878.05701681, 4879884.61829108, 0, 0), c(764963.219581516, 764963.219581516, 4877746.94689831, 4879884.61829108, 0, 0))
"6",6,6,"Ontario","IMRP","2024-08-06T19:56:17Z",0,16,-77.693240832,44.024252539,c(765013.660508802, 4879884.25587578),6,0.00176571404277278,0.00176571404277278,0.96741351276009,0.96741351276009,6,2925.83429835976,list(c(761859.893779908, 765013.660508802, 4878577.92292411, 4879884.25587578, 0, 0), c(763815.835063717, 765013.660508802, 4876992.4494409, 4879884.25587578, 0, 0), c(762962.427486917, 765013.660508802, 4877833.02285389, 4879884.25587578, 0, 0), c(765013.660508802, 765013.660508802, 4877625.48148024, 4879884.25587578, 0, 0))
"7",7,7,"Ontario","IMRP","2024-08-06T19:57:59Z",15,49,-77.69327,44.024236,c(765011.396571244, 4879882.32494327),7,0.00515001733823588,0.00515001733823588,0.969365975866905,0.969365975866905,7,2924.11891783445,list(c(761858.856452383, 765011.396571244, 4878576.50007011, 4879882.32494327, 0, 0), c(763813.89520044, 765011.396571244, 4876991.30089292, 4879882.32494327, 0, 0), c(762962.230177649, 765011.396571244, 4877833.15854968, 4879882.32494327, 0, 0), c(765011.396571244, 765011.396571244, 4877625.31489604, 4879882.32494327, 0, 0))
"8",8,8,"Ontario","IMRP","2024-08-06T20:00:34Z",70,62,-77.693297,44.0241990000001,c(765009.397645189, 4879878.12828803),8,0.00946392478919797,0.00946392478919797,1.00420721578044,1.00420721578044,8,2921.10803645806,list(c(761855.911990431, 765009.397645189, 4878571.91176108, 4879878.12828803, 0, 0), c(763813.560536685, 765009.397645189, 4876991.12212228, 4879878.12828803, 0, 0), c(762963.532357114, 765009.397645189, 4877832.26299995, 4879878.12828803, 0, 0), c(765009.397645189, 765009.397645189, 4877625.16781182, 4879878.12828803, 0, 0))
"9",9,9,"Ontario","IMRP","2024-08-06T20:03:14Z",60,82,-77.693495,44.024124,c(764993.863178218, 4879869.16051395),9,0.0275929512709552,0.0275929512709552,1.05106743487466,1.05106743487466,9,2888.36660573937,list(c(761853.697803028, 764993.863178218, 4878568.46142745, 4879869.16051395, 0, 0), c(763798.377428519, 764993.863178218, 4876983.0026034, 4879869.16051395, 0, 0), c(762959.51488635, 764993.863178218, 4877834.81222208, 4879869.16051395, 0, 0), c(764993.863178218, 764993.863178218, 4877715.54235687, 4879869.16051395, 0, 0))
"10",10,10,"Ontario","IMRP","2024-08-06T20:06:20Z",60,82,-77.693741,44.0239980000001,c(764974.709072121, 4879854.37351639),10,0.062914571522253,0.062914571522253,1.11889943571859,1.11889943571859,10,2866.76741588371,list(c(761850.854930162, 764974.709072121, 4878560.43076391, 4879854.37351639, 0, 0), c(763782.825406698, 764974.709072121, 4876976.91180655, 4879854.37351639, 0, 0), c(762956.726892682, 764974.709072121, 4877836.39133695, 4879854.37351639, 0, 0), c(764974.709072121, 764974.709072121, 4877736.93908911, 4879854.37351639, 0, 0))
"11",11,11,"Ontario","IMRP","2024-08-06T20:13:03Z",0,33,-77.693071,44.0239740000001,c(765028.514250059, 4879853.86378872),11,0.00324337746740715,0.00324337746740715,0.970616178450969,0.970616178450969,11,2902.154129441,list(c(761866.939117333, 765028.514250059, 4878544.29649028, 4879853.86378872, 0, 0), c(763850.110724778, 765028.514250059, 4877008.94601604, 4879853.86378872, 0, 0), c(762992.802428277, 765028.514250059, 4877818.15196694, 4879853.86378872, 0, 0), c(765028.514250059, 765028.514250059, 4877625.55961032, 4879853.86378872, 0, 0))
"12",12,12,"Ontario","IMRP","2024-08-06T20:15:00Z",50,45,-77.6931039999999,44.023968,c(765025.896177049, 4879853.09113567),12,0.00619873288347823,0.00619873288347823,0.972410429647933,0.972410429647933,12,2901.19037341952,list(c(761866.383420493, 765025.896177049, 4878544.37810142, 4879853.09113567, 0, 0), c(763847.23262818, 765025.896177049, 4877007.54561052, 4879853.09113567, 0, 0), c(762991.402131437, 765025.896177049, 4877818.59709006, 4879853.09113567, 0, 0), c(765025.896177049, 765025.896177049, 4877625.36696029, 4879853.09113567, 0, 0))
"13",13,13,"Ontario","IMRP","2024-08-06T20:17:32Z",75,75,-77.693327,44.0238820000001,c(765008.407060338, 4879842.82105002),13,0.0293497575410357,0.0293497575410357,1.02370195166807,1.02370195166807,13,2887.65708544676,list(c(761871.691395145, 765008.407060338, 4878543.55088019, 4879842.82105002, 0, 0), c(763830.43903588, 765008.407060338, 4876998.95466933, 4879842.82105002, 0, 0), c(762986.38794586, 765008.407060338, 4877820.80193554, 4879842.82105002, 0, 0), c(765008.407060338, 765008.407060338, 4877625.09492297, 4879842.82105002, 0, 0))
"14",14,14,"Ontario","IMRP","2024-08-06T20:19:55Z",70,82,-77.693547,44.023823,c(764991.03792168, 4879835.5596848),14,0.0517467154110117,0.0517467154110117,1.06519339504415,1.06519339504415,14,2854.19060537276,list(c(761871.772197516, 764991.03792168, 4878543.5175172, 4879835.5596848, 0, 0), c(763812.626675633, 764991.03792168, 4876990.62327254, 4879835.5596848, 0, 0), c(762979.75312482, 764991.03792168, 4877824.27488794, 4879835.5596848, 0, 0), c(764991.03792168, 764991.03792168, 4877718.78937425, 4879835.5596848, 0, 0))
