"","id_point","direction","weight","FID_LKO_La","FID_GLAF_L","GNIS_Name","AreaSqKm","Shape_Leng","FID_LKO__1","Id","FID_TempGL","Shape_Le_1","Shape_Area","geometry","transect_length","rank"
"1",1,0,1,-1,0,NA,0,0,0,0,2,43.6880983255,2.17115896116,c(764998.500784132, 765001.612357447, 4879899.60775693, 4879899.60775693, 0, 0),3.11157331475988,3
"2",1,22.5,1,-1,0,NA,0,0,0,0,2,43.6880983255,2.17115896116,c(764998.500784132, 765000.928289173, 4879899.60775693, 4879900.61326244, 0, 0),2.62751252294518,1
"3",1,45,1,-1,0,NA,0,0,0,0,2,43.6880983255,2.17115896116,c(764998.500784132, 765000.448933377, 4879899.60775693, 4879901.55590618, 0, 0),2.75509908413449,2
"4",1,67.5,1,-1,0,NA,0,0,0,0,2,43.6880983255,2.17115896116,c(764998.500784132, 764999.965392484, 4879899.60775693, 4879903.14363428, 0, 0),3.82720606055083,4
"5",1,90,1,-1,0,NA,0,0,0,0,2,43.6880983255,2.17115896116,c(764998.500784132, 764998.500784132, 4879899.60775693, 4880511.79635748, 0, 0),612.188600547612,9
"6",1,112.5,1,-1,0,NA,0,0,0,0,2,43.6880983255,2.17115896116,c(764805.708634998, 764998.500784132, 4880365.04917809, 4879899.60775693, 0, 0),503.790163954047,7
"7",1,135,1,-1,0,NA,0,0,0,0,2,43.6880983255,2.17115896116,c(764481.322826024, 764998.500784132, 4880416.78571504, 4879899.60775693, 0, 0),731.400082516126,10
"8",1,157.5,1,-1,0,NA,0,0,0,0,2,43.6880983255,2.17115896116,c(764117.458051022, 764998.500784132, 4880264.54760602, 4879899.60775693, 0, 0),953.633782441972,11
"9",1,180,1,-1,0,NA,0,0,0,0,2,43.6880983255,2.17115896116,c(763474.564879753, 764998.500784132, 4879899.60775693, 4879899.60775693, 0, 0),1523.93590437935,12
"10",1,202.5,1,-1,0,NA,0,0,0,0,2,43.6880983255,2.17115896116,c(761904.85773821, 764998.500784132, 4878618.17885017, 4879899.60775693, 0, 0),3348.53510339426,16
"11",1,225,1,-1,0,NA,0,0,0,0,2,43.6880983255,2.17115896116,c(762942.65867002, 764998.500784132, 4877843.76564282, 4879899.60775693, 0, 0),2907.3997998752,14
"12",1,247.5,1,-1,0,NA,0,0,0,0,2,43.6880983255,2.17115896116,c(763789.078909732, 764998.500784132, 4876979.80506513, 4879899.60775693, 0, 0),3160.37166000465,15
"13",1,270,1,-1,0,NA,0,0,0,0,2,43.6880983255,2.17115896116,c(764998.500784132, 764998.500784132, 4877624.37267275, 4879899.60775693, 0, 0),2275.23508418351,13
"14",1,292.5,1,-1,0,NA,0,0,0,0,2,43.6880983255,2.17115896116,c(764998.500784132, 765193.900422399, 4879899.60775693, 4879427.87130015, 0, 0),510.60386141911,8
"15",1,315,1,-1,0,NA,0,0,0,0,2,43.6880983255,2.17115896116,c(764998.500784132, 765018.980816197, 4879899.60775693, 4879879.12772487, 0, 0),28.9631391041732,6
"16",1,337.5,1,-1,0,NA,0,0,0,0,2,43.6880983255,2.17115896116,c(764998.500784132, 765002.833238309, 4879899.60775693, 4879897.81319566, 0, 0),4.68941460902026,5
"17",2,0,1,-1,0,NA,0,0,0,0,2,43.6880983255,2.17115896116,c(764994.008282296, 765003.021778631, 4879897.53606201, 4879897.53606201, 0, 0),9.01349633536302,3
"18",2,22.5,1,-1,0,NA,0,0,0,0,2,43.6880983255,2.17115896116,c(764994.008282296, 765001.040193674, 4879897.53606201, 4879900.44877507, 0, 0),7.61128602855337,1
"19",2,45,1,-1,0,NA,0,0,0,0,2,43.6880983255,2.17115896116,c(764994.008282296, 764999.883792325, 4879897.53606201, 4879903.41157204, 0, 0),8.309225969406,2
"20",2,67.5,1,-1,0,NA,0,0,0,0,2,43.6880983255,2.17115896116,c(764994.008282296, 765339.249999482, 4879897.53606201, 4880731.02329794, 0, 0),902.160083210672,10
"21",2,90,1,-1,0,NA,0,0,0,0,2,43.6880983255,2.17115896116,c(764994.008282296, 764994.008282296, 4879897.53606201, 4880508.09014474, 0, 0),610.554082728922,8
"22",2,112.5,1,-1,0,NA,0,0,0,0,2,43.6880983255,2.17115896116,c(764801.14486914, 764994.008282296, 4880363.14952974, 4879897.53606201, 0, 0),503.97638581963,6
"23",2,135,1,-1,0,NA,0,0,0,0,2,43.6880983255,2.17115896116,c(764476.181154461, 764994.008282296, 4880415.36318985, 4879897.53606201, 0, 0),732.318147149807,9
"24",2,157.5,1,-1,0,NA,0,0,0,0,2,43.6880983255,2.17115896116,c(764114.954937893, 764994.008282296, 4880261.65187931, 4879897.53606201, 0, 0),951.480483623155,11
"25",2,180,1,-1,0,NA,0,0,0,0,2,43.6880983255,2.17115896116,c(763474.011627956, 764994.008282296, 4879897.53606201, 4879897.53606201, 0, 0),1519.99665434042,12
"26",2,202.5,1,-1,0,NA,0,0,0,0,2,43.6880983255,2.17115896116,c(761904.349653979, 764994.008282296, 4878617.75755506, 4879897.53606201, 0, 0),3344.22240085694,16
"27",2,225,1,-1,0,NA,0,0,0,0,2,43.6880983255,2.17115896116,c(762941.058324416, 764994.008282296, 4877844.58610413, 4879897.53606201, 0, 0),2903.30967330736,14
"28",2,247.5,1,-1,0,NA,0,0,0,0,2,43.6880983255,2.17115896116,c(763784.751035426, 764994.008282296, 4876978.13081622, 4879897.53606201, 0, 0),3159.94146753802,15
"29",2,270,1,-1,0,NA,0,0,0,0,2,43.6880983255,2.17115896116,c(764994.008282296, 764994.008282296, 4877715.37559132, 4879897.53606201, 0, 0),2182.16047069523,13
